name,place,lon,lat,elevation_m,at_risk
Cuatro Tiempos,locality,-16.4365683,28.3929601,1716.0,False
Lomo Pelado,locality,-17.2572876,28.1689851,444.0,False
Lomo del Corte,locality,-17.2682123,28.1643411,420.0,False
Plaza de Stagno,square,-15.4140871,28.1036963,19.0,False
Puerto Rico,suburb,-15.7117774,27.7865973,16.0,False
Las Roderas,locality,-17.1089019,28.1281585,109.0,False
Lomo Gordo,locality,-17.1079372,28.126224,121.0,False
Lomo de la Cancela,locality,-17.1081163,28.1244636,201.0,False
Lomo del Humilladero,locality,-17.110533,28.1290389,120.0,False
Los Montones,locality,-17.1077781,28.1291543,15.0,False
Casas de Veneguera,hamlet,-15.7317752,27.9055991,275.0,False
Mogán,village,-15.7229909,27.8838269,271.0,False
Lomo de las Pulgas,locality,-15.5587366,27.917768,775.0,False
Pueblo de Tauro,neighbourhood,-15.7167195,27.801345,43.0,False
Patalavaca,neighbourhood,-15.6861948,27.7709774,77.0,False
La Verga,hamlet,-15.6911531,27.7758172,62.0,False
Llano de los Caserones,locality,-15.5619071,27.8610102,542.0,False
Lomo Gordo,locality,-15.5552046,27.8600029,611.0,False
Lomo de las Casas Viejas,locality,-15.5626997,27.8574852,492.0,False
Lomo Galeón,locality,-15.6595974,27.7710912,150.0,False
Lomo de las Casillas,locality,-15.5006549,27.8717034,397.0,False
El Timple,neighbourhood,-16.3127742,28.4834579,534.0,False
Urbanización La Verdellada,neighbourhood,-16.309594,28.481232,505.0,False
Lomo Pollo,locality,-15.4293455,27.9669207,261.0,False
Lomo Gordo,locality,-15.4095575,27.9697911,162.0,False
Radazul Bajo,hamlet,-16.3222984,28.4028254,95.0,False
La Buena Esperanza,locality,-16.7842056,28.1897724,322.0,False
Estación Espacial de Maspalomas,locality,-15.6416277,27.7689839,165.0,False
Femés,hamlet,-13.7789386,28.9137946,367.0,False
Playa Blanca,suburb,-13.8298966,28.8631949,13.0,False
El Golfo,hamlet,-13.831356,28.9821862,7.0,False
Yaiza,village,-13.7642134,28.9528697,184.0,False
Uga,village,-13.744138,28.95016,208.0,False
San Sebastián de la Gomera,town,-17.1110077,28.0910382,14.0,False
Alameda Pío XII,square,-15.5482421,28.059146,601.0,False
Adeje,town,-16.7241893,28.1219416,291.0,False
La Postura,suburb,-16.7294332,28.1213521,269.0,False
Los Olivos,suburb,-16.7330074,28.1210756,239.0,False
Las Nieves,suburb,-16.737256,28.1206366,206.0,False
Barranco de las Torres,suburb,-16.7369041,28.1263517,235.0,False
Armeñime,suburb,-16.7553439,28.1297777,194.0,False
Los Menores,suburb,-16.7569971,28.1409977,310.0,False
Las Moraditas,neighbourhood,-16.7431526,28.1363657,422.0,False
Fañabé,suburb,-16.7308102,28.1078275,137.0,False
Playa Paraíso,suburb,-16.7731504,28.1220218,15.0,False
Tijoco Bajo,suburb,-16.7667376,28.1600393,384.0,False
Lomo del Clérigo,locality,-16.7648678,28.1491637,351.0,False
La Concepción,neighbourhood,-16.7480192,28.1577454,711.0,False
Tijoco Alto,neighbourhood,-16.7333693,28.1691171,961.0,False
La Quinta,neighbourhood,-16.7270594,28.1497843,926.0,False
Taucho,neighbourhood,-16.7273169,28.15322,917.0,False
Las Rosas,neighbourhood,-16.7527227,28.1356466,267.0,False
Vera de Erques,neighbourhood,-16.7444831,28.1749596,836.0,False
Tejina,suburb,-16.7644815,28.1863458,570.0,False
Acojeja,neighbourhood,-16.7647648,28.196914,638.0,False
El Pozo,neighbourhood,-16.7670221,28.1986387,605.0,False
Aripe,neighbourhood,-16.7671251,28.216716,746.0,False
Chirche,neighbourhood,-16.7600012,28.2191362,873.0,False
El Jaral,neighbourhood,-16.7553234,28.203631,841.0,False
Chiguergue,neighbourhood,-16.7818193,28.2259653,732.0,False
Chío,suburb,-16.7964106,28.2367715,670.0,False
Arguayo,hamlet,-16.8070536,28.2680345,917.0,False
Las Manchas,hamlet,-16.8021612,28.2837797,976.0,False
Santiago del Teide,village,-16.8144779,28.2957363,927.0,False
Masca,hamlet,-16.840501,28.3052572,599.0,False
Tamaimo,village,-16.8193102,28.2686014,573.0,False
El Molledo,hamlet,-16.8138514,28.287128,871.0,False
El Retamar,hamlet,-16.8139372,28.2811569,796.0,False
Los Gigantes,suburb,-16.8401413,28.245641,36.0,False
Playa de la Arena,suburb,-16.8394117,28.2301926,31.0,False
Puerto Santiago,suburb,-16.8408365,28.2379511,66.0,False
El Varadero,neighbourhood,-16.8377552,28.2261695,34.0,False
Alcalá,suburb,-16.8280533,28.2017836,13.0,False
Agua Dulce,neighbourhood,-16.8030024,28.1798622,109.0,False
Piedra Hincada,suburb,-16.7904024,28.1804296,225.0,False
Ricasa,suburb,-16.7910376,28.1549454,140.0,False
Callao Salvaje,suburb,-16.777343,28.1306787,59.0,False
San Eugenio Alto,suburb,-16.7255144,28.0789637,77.0,False
Palm-Mar,suburb,-16.6989081,28.0223893,30.0,False
El Fraile,suburb,-16.6687202,28.0122036,28.0,False
Las Galletas,suburb,-16.6557083,28.0078975,3.0,False
Ten Bel,suburb,-16.6526235,28.0097138,6.0,False
Costa del Silencio,suburb,-16.6455427,28.0096953,17.0,False
La Estrella,neighbourhood,-16.653246,28.0152175,21.0,False
Guargacho,suburb,-16.6394704,28.034788,79.0,False
Las Chafiras,suburb,-16.6227498,28.0478736,137.0,False
Golf del Sur,suburb,-16.6077455,28.0329968,60.0,False
Los Abrigos,suburb,-16.5907684,28.0291639,17.0,False
Granadilla de Abona,town,-16.5766728,28.1221408,639.0,False
San Miguel de Abona,town,-16.6167914,28.0992051,616.0,False
Valle de San Lorenzo,suburb,-16.6570215,28.0897696,401.0,False
Guaza,suburb,-16.6771402,28.0497438,108.0,False
Cabo Blanco,suburb,-16.6713123,28.0711634,262.0,False
La Camella,suburb,-16.6821746,28.0789581,347.0,False
Aguilas del Teide,suburb,-16.6970299,28.0751988,273.0,False
Chayofa,suburb,-16.69786,28.0722226,234.0,False
Urbanización Casablanca,hamlet,-16.4297623,28.1674562,26.0,False
Unnamed settlement,islet,-15.5365785,27.7712236,45.0,False
Mercado de San Mateo,square,-15.5316475,28.0086547,841.0,False
Ayacata,hamlet,-15.6081545,27.9582934,1321.0,False
Los Silos,village,-16.8167118,28.3658242,104.0,False
Arteara,hamlet,-15.5675628,27.8487473,348.0,False
Fataga,neighbourhood,-15.5642805,27.8872652,607.0,False
San Bartolomé de Tirajana,town,-15.5729983,27.9252512,900.0,False
Rosiana Baja,hamlet,-15.5487267,27.9156043,673.0,False
